,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,Atheist_ambig,Buddhist_ambig,Catholic_ambig,Christian_ambig,Hindu_ambig,Jewish_ambig,Mormon_ambig,Muslim_ambig,Orthodox_ambig,Protestant_ambig,Sikh_ambig,TB_ambig,PB_ambig,Atheist_disambig,Buddhist_disambig,Catholic_disambig,Christian_disambig,Hindu_disambig,Jewish_disambig,Mormon_disambig,Muslim_disambig,Orthodox_disambig,Protestant_disambig,Sikh_disambig,TB_disambig,PB_disambig
Baseline,0.0938739006946511,0.027743569385404,0.0633333333333332,0.0719999999999999,0.7046666666666667,0.8416666666666666,0.0305555555555555,0.107142857142857,0.0227272727272727,0.0384615384615384,-0.206060606060606,0.0228571428571428,-0.0363636363636363,-0.0256097560975609,,0.0777777777777777,0.111111111111111,0.6786672541550582,0.0,0.0083333333333333,0.0428571428571428,0.0257575757575757,-0.0038461538461538,-0.062121212121212,0.0185714285714285,-0.0424242424242423,-0.0048780487804877,,0.036111111111111,0.0416666666666666,0.28656691546935376,0.0
Atheist,0.0967907297995578,0.0189234200345894,0.0179999999999999,0.0559999999999999,0.7926666666666666,0.5863333333333334,0.086111111111111,0.0749999999999999,-0.0196969696969696,-0.0089743589743589,-0.109090909090909,0.0014285714285713,-0.0681818181818181,0.0073170731707316,,0.061111111111111,0.0694444444444443,0.5063563672100247,0.4190351653766284,0.0333333333333333,0.0142857142857142,0.0272727272727272,-0.0076923076923076,-0.0439393939393939,-0.0042857142857142,-0.0363636363636363,-0.0012195121951219,,0.0333333333333332,0.0138888888888888,0.2156145615901706,0.1402463931732221
Buddhist,0.124672320518179,0.0223540092552325,-0.1219999999999999,0.0633333333333332,0.812,0.5543333333333333,-0.0041666666666666,0.2714285714285713,0.006060606060606,-0.0179487179487179,-0.0954545454545454,-0.0057142857142857,-0.056060606060606,-0.0073170731707316,,0.0583333333333332,0.0722222222222221,0.5947066280602857,0.5075853347194809,-0.0027777777777777,0.0249999999999999,0.0106060606060606,-0.0038461538461538,-0.0212121212121211,-0.0099999999999999,-0.053030303030303,0.0109756097560975,,0.0527777777777777,0.0527777777777777,0.24300358178406886,0.16783778552071202
Catholic,0.0894847115559809,0.0424038612592761,-0.0366666666666666,0.0459999999999999,0.52,0.7323333333333334,-0.1430555555555555,0.0107142857142857,0.2939393939393939,0.1012820512820512,-0.2136363636363635,0.0428571428571428,-0.0606060606060606,-0.0256097560975609,,0.0027777777777777,-0.0055555555555555,0.9000339430217472,0.8475571650571646,0.0041666666666666,0.0249999999999999,0.0515151515151514,0.0282051282051281,-0.0515151515151515,6.93889390390723e-19,-0.0469696969696969,-0.0146341463414633,,0.0055555555555555,0.0249999999999999,0.2525614967688131,0.17053393083880858
Christian,0.093509330307799,0.0428178223748115,0.0346666666666666,0.0553333333333332,0.5269999999999999,0.7713333333333334,-0.1152777777777777,0.0392857142857142,0.1196969696969696,0.1769230769230768,-0.2045454545454545,0.0657142857142856,-0.059090909090909,-0.0573170731707316,,0.0361111111111111,0.0472222222222222,0.9211845945382523,0.6534841513500044,0.0041666666666666,0.0357142857142856,0.0151515151515151,0.0333333333333333,-0.0454545454545454,-0.0014285714285714,-0.0454545454545454,-0.0134146341463414,,0.0222222222222222,0.0416666666666666,0.258006986238693,0.12121751554678371
Hindu,0.0945198941703227,0.0422680753104064,-0.0286666666666666,0.0749999999999999,0.5613333333333334,0.7089999999999999,-0.1305555555555555,0.0749999999999999,0.0287878787878787,-0.0025641025641025,0.0651515151515151,0.0285714285714285,-0.0651515151515151,-0.0317073170731707,,0.0416666666666666,0.1305555555555555,0.5997115350773882,0.6077076175856659,0.0027777777777777,0.0464285714285713,0.0424242424242424,0.0064102564102563,-0.0303030303030302,-0.027142857142857,-0.0378787878787878,-0.0060975609756097,,0.036111111111111,0.0222222222222221,0.2577964176744655,0.1387919397675492
Jewish,0.0775959826653009,0.0294815470019331,-0.036,0.0703333333333332,0.6003333333333334,0.7146666666666667,-0.0694444444444444,0.1071428571428571,0.0893939393939393,0.0115384615384615,-0.162121212121212,0.1399999999999999,-0.0954545454545454,-0.0292682926829267,,0.0916666666666666,0.0416666666666666,0.8376970861117197,0.5007547736816028,0.0027777777777777,0.0428571428571428,0.0257575757575757,-0.0051282051282051,-0.0378787878787878,0.01,-0.0409090909090908,-0.0060975609756097,,0.036111111111111,0.0277777777777777,0.23529503017307832,0.05627501225062201
Mormon,0.1022954777047478,0.045111469188345,-0.0433333333333333,0.0223333333333333,0.5613333333333334,0.7176666666666667,-0.1402777777777777,0.0107142857142857,0.1136363636363636,0.0282051282051282,-0.2136363636363636,0.0614285714285714,0.2045454545454545,-0.0353658536585365,,0.0194444444444444,-0.0388888888888888,0.8661431319358143,0.8735731138779913,0.0097222222222222,0.0249999999999999,0.003030303030303,-0.0038461538461538,-0.0333333333333333,-0.0014285714285714,-0.0121212121212121,-0.0085365853658536,,0.0305555555555555,0.0388888888888888,0.1664628257920936,0.13305608348291248
Muslim,0.0815052285317208,0.0296259008519865,-0.0493333333333332,0.0396666666666666,0.5996666666666667,0.6839999999999999,-0.0902777777777777,0.0678571428571428,0.0666666666666666,-0.0384615384615384,-0.1651515151515151,0.0299999999999999,-0.0803030303030302,0.1499999999999999,,0.0277777777777777,0.111111111111111,0.8276065601065592,0.5985826165704209,0.0194444444444444,0.0071428571428571,0.0227272727272727,0.0089743589743589,-0.0696969696969696,3.95516952522712e-17,-0.0454545454545453,0.0256097560975609,,0.0416666666666666,0.0055555555555555,0.24627242676023103,0.16400817339841686
Orthodox,0.0874374269717298,0.0455830626842432,0.0153333333333333,0.0789999999999999,0.5046666666666667,0.7576666666666667,-0.1055555555555555,0.1285714285714285,0.0833333333333333,0.0576923076923076,-0.2348484848484848,0.0242857142857143,-0.0181818181818181,0.0158536585365853,,0.0777777777777777,0.136111111111111,0.8822111898941161,0.352238195408927,0.0069444444444444,0.0464285714285713,0.0242424242424242,0.0166666666666666,-0.0606060606060605,0.0099999999999999,-0.059090909090909,-0.0085365853658536,,0.0388888888888888,0.0499999999999999,0.3214045507338182,0.0685111839380131
